fid,date,24hour,x,y,Ground_val,Satelite_val,Land_use,Road_density,Population,Temperature,Wind_dir,Wind_Velocity,Hygrometry,Atm_Pres
"237",2010-01-01,"0",-76.9720930008495,39.5215463131397,,,,,,,,,,
"238",2010-01-01,"0",-76.9631098480083,39.5215463131397,,,,,,,,,,
"239",2010-01-01,"0",-76.9541266951671,39.5215463131397,,,,,,,,,,
"240",2010-01-01,"0",-76.9451435423259,39.5215463131397,,,,,,,,,,
"241",2010-01-01,"0",-76.9361603894847,39.5215463131397,,,,,,,,,,
"242",2010-01-01,"0",-76.9271772366435,39.5215463131397,,,,,,,,,,
"243",2010-01-01,"0",-76.9181940838023,39.5215463131397,,,,,,,,,,
"244",2010-01-01,"0",-76.9092109309611,39.5215463131397,,,,,,,,,,
"245",2010-01-01,"0",-76.9002277781199,39.5215463131397,,,,,,,,,,
"246",2010-01-01,"0",-76.8912446252787,39.5215463131397,,,,,,,,,,
"247",2010-01-01,"0",-76.8822614724375,39.5215463131397,,,,,,,,,,
"248",2010-01-01,"0",-76.8732783195963,39.5215463131397,,,,,,,,,,
"249",2010-01-01,"0",-76.8642951667551,39.5215463131397,,,,,,,,,,
"250",2010-01-01,"0",-76.8553120139139,39.5215463131397,,,,,,,,,,
"251",2010-01-01,"0",-76.8463288610727,39.5215463131397,,,,,,,,,,
"252",2010-01-01,"0",-76.8373457082315,39.5215463131397,,,,,,,,,,
"253",2010-01-01,"0",-76.8283625553903,39.5215463131397,,,,,,,,,,
"254",2010-01-01,"0",-76.8193794025491,39.5215463131397,,,,,,,,,,
"255",2010-01-01,"0",-76.810396249708,39.5215463131397,,,,,,,,,,
"256",2010-01-01,"0",-76.8014130968668,39.5215463131397,,,,,,,,,,
"257",2010-01-01,"0",-76.7924299440256,39.5215463131397,,,,,,,,,,
"258",2010-01-01,"0",-76.7834467911844,39.5215463131397,,,,,,,,,,
"259",2010-01-01,"0",-76.7744636383432,39.5215463131397,,,,,,,,,,
"260",2010-01-01,"0",-76.765480485502,39.5215463131397,,,,,,,,,,
"261",2010-01-01,"0",-76.7564973326608,39.5215463131397,,,,,,,,,,
"262",2010-01-01,"0",-76.7475141798196,39.5215463131397,,,,,,,,,,
"263",2010-01-01,"0",-76.7385310269784,39.5215463131397,,,,,,,,,,
"264",2010-01-01,"0",-76.7295478741372,39.5215463131397,,,,,,,,,,
"265",2010-01-01,"0",-76.720564721296,39.5215463131397,,,,,,,,,,
"266",2010-01-01,"0",-76.7115815684548,39.5215463131397,,,,,,,,,,
"267",2010-01-01,"0",-76.7025984156136,39.5215463131397,,,,,,,,,,
"268",2010-01-01,"0",-76.6936152627724,39.5215463131397,,,,,,,,,,
"269",2010-01-01,"0",-76.6846321099312,39.5215463131397,,,,,,,,,,
"270",2010-01-01,"0",-76.67564895709,39.5215463131397,,,,,,,,,,
"271",2010-01-01,"0",-76.6666658042488,39.5215463131397,,,,,,,,,,
"272",2010-01-01,"0",-76.6576826514076,39.5215463131397,,,,,,,,,,
"273",2010-01-01,"0",-76.6486994985664,39.5215463131397,,,,,,,,,,
"274",2010-01-01,"0",-76.6397163457252,39.5215463131397,,,,,,,,,,
"275",2010-01-01,"0",-76.6307331928841,39.5215463131397,,,,,,,,,,
"276",2010-01-01,"0",-76.6217500400429,39.5215463131397,,,,,,,,,,
"277",2010-01-01,"0",-76.6127668872017,39.5215463131397,,,,,,,,,,
"278",2010-01-01,"0",-76.6037837343605,39.5215463131397,,,,,,,,,,
"279",2010-01-01,"0",-76.5948005815193,39.5215463131397,,,,,,,,,,
"280",2010-01-01,"0",-76.5858174286781,39.5215463131397,,,,,,,,,,
"281",2010-01-01,"0",-76.5768342758369,39.5215463131397,,,,,,,,,,
"282",2010-01-01,"0",-76.5678511229957,39.5215463131397,,,,,,,,,,
"283",2010-01-01,"0",-76.5588679701545,39.5215463131397,,,,,,,,,,
"284",2010-01-01,"0",-76.5498848173133,39.5215463131397,,,,,,,,,,
"285",2010-01-01,"0",-76.5409016644721,39.5215463131397,,,,,,,,,,
"286",2010-01-01,"0",-76.5319185116309,39.5215463131397,,,,,,,,,,
"287",2010-01-01,"0",-76.5229353587897,39.5215463131397,,,,,,,,,,
"288",2010-01-01,"0",-76.5139522059485,39.5215463131397,,,,,,,,,,
"289",2010-01-01,"0",-76.5049690531073,39.5215463131397,,,,,,,,,,
"290",2010-01-01,"0",-76.4959859002661,39.5215463131397,,,,,,,,,,
"291",2010-01-01,"0",-76.4870027474249,39.5215463131397,,,,,,,,,,
"292",2010-01-01,"0",-76.4780195945837,39.5215463131397,,,,,,,,,,
"293",2010-01-01,"0",-76.4690364417425,39.5215463131397,,,,,,,,,,
"294",2010-01-01,"0",-76.4600532889013,39.5215463131397,,,,,,,,,,
"295",2010-01-01,"0",-76.4510701360601,39.5215463131397,,,,,,,,,,
"296",2010-01-01,"0",-76.442086983219,39.5215463131397,,,,,,,,,,
"297",2010-01-01,"0",-76.4331038303778,39.5215463131397,,,,,,,,,,
"298",2010-01-01,"0",-76.4241206775366,39.5215463131397,,,,,,,,,,
"299",2010-01-01,"0",-76.4151375246954,39.5215463131397,,,,,,,,,,
"300",2010-01-01,"0",-76.4061543718542,39.5215463131397,,,,,,,,,,
"301",2010-01-01,"0",-76.397171219013,39.5215463131397,,,,,,,,,,
"302",2010-01-01,"0",-76.3881880661718,39.5215463131397,,,,,,,,,,
"303",2010-01-01,"0",-77.7356609923511,39.5146164951467,,,,,,,,,,
"304",2010-01-01,"0",-77.7266778395099,39.5146164951467,,,,,,,,,,
"305",2010-01-01,"0",-77.7176946866687,39.5146164951467,,,,,,,,,,
"306",2010-01-01,"0",-77.7087115338275,39.5146164951467,,,,,,,,,,
"307",2010-01-01,"0",-77.6997283809863,39.5146164951467,,,,,,,,,,
"308",2010-01-01,"0",-77.6907452281451,39.5146164951467,,,,,,,,,,
"309",2010-01-01,"0",-77.6817620753039,39.5146164951467,,,,,,,,,,
"310",2010-01-01,"0",-77.6727789224627,39.5146164951467,,,,,,,,,,
"311",2010-01-01,"0",-77.6637957696215,39.5146164951467,,,,,,,,,,
"312",2010-01-01,"0",-77.6548126167803,39.5146164951467,,,,,,,,,,
"313",2010-01-01,"0",-77.6458294639391,39.5146164951467,,,,,,,,,,
"314",2010-01-01,"0",-77.6368463110979,39.5146164951467,,,,,,,,,,
"315",2010-01-01,"0",-77.6278631582567,39.5146164951467,,,,,,,,,,
"316",2010-01-01,"0",-77.6188800054155,39.5146164951467,,,,,,,,,,
"317",2010-01-01,"0",-77.6098968525743,39.5146164951467,,,,,,,,,,
"318",2010-01-01,"0",-77.6009136997331,39.5146164951467,,,,,,,,,,
"319",2010-01-01,"0",-77.5919305468919,39.5146164951467,,,,,,,,,,
"320",2010-01-01,"0",-77.5829473940507,39.5146164951467,,,,,,,,,,
"321",2010-01-01,"0",-77.5739642412096,39.5146164951467,,,,,,,,,,
"322",2010-01-01,"0",-77.5649810883684,39.5146164951467,,,,,,,,,,
"323",2010-01-01,"0",-77.5559979355272,39.5146164951467,,,,,,,,,,
"324",2010-01-01,"0",-77.547014782686,39.5146164951467,,,,,,,,,,
"325",2010-01-01,"0",-77.5380316298448,39.5146164951467,,,,,,,,,,
"326",2010-01-01,"0",-77.5290484770036,39.5146164951467,,,,,,,,,,
"327",2010-01-01,"0",-77.5200653241624,39.5146164951467,,,,,,,,,,
"328",2010-01-01,"0",-77.5110821713212,39.5146164951467,,,,,,,,,,
"329",2010-01-01,"0",-77.50209901848,39.5146164951467,,,,,,,,,,
"330",2010-01-01,"0",-77.4931158656388,39.5146164951467,,,,,,,,,,
"331",2010-01-01,"0",-77.4841327127976,39.5146164951467,,,,,,,,,,
"332",2010-01-01,"0",-77.4751495599564,39.5146164951467,,,,,,,,,,
"333",2010-01-01,"0",-77.4661664071152,39.5146164951467,,,,,,,,,,
"334",2010-01-01,"0",-77.457183254274,39.5146164951467,,,,,,,,,,
"335",2010-01-01,"0",-77.4482001014328,39.5146164951467,,,,,,,,,,
"336",2010-01-01,"0",-77.4392169485916,39.5146164951467,,,,,,,,,,
"337",2010-01-01,"0",-77.4302337957504,39.5146164951467,,,,,,,,,,
"338",2010-01-01,"0",-77.4212506429092,39.5146164951467,,,,,,,,,,
"339",2010-01-01,"0",-77.412267490068,39.5146164951467,,,,,,,,,,
"340",2010-01-01,"0",-77.4032843372268,39.5146164951467,,,,,,,,,,
"341",2010-01-01,"0",-77.3943011843857,39.5146164951467,,,,,,,,,,
